"","node"
"1","arroz"
"2","bebida"
"3","borracho"
"4","caamara"
"5","chocolate"
"6","coche"
"7","correr"
"8","familia"
"9","fresco"
"10","gasolina"
"11","ninna"
"12","tierra"
"13","agua"
"14","alimento"
"15","amarillo"
"16","blanco"
"17","cafee"
"18","caldo"
"19","caliente"
"20","carne"
"21","casa"
"22","cena"
"23","ceviche"
"24","cocina"
"25","cocinar"
"26","comer"
"27","comida"
"28","delicioso"
"29","espagueti"
"30","faacil"
"31","familia"
"32","frijol"
"33","frito"
"34","gandul"
"35","grano"
"36","habichuela"
"37","hambre"
"38","huevo"
"39","jasmine"
"40","jitomate"
"41","lado"
"42","leche"
"43","lenteja"
"44","mexicano"
"45","mole"
"46","nutricioon"
"47","pinto"
"48","planta"
"49","plato"
"50","pollo"
"51","rico"
"52","rojo"
"53","sabroso"
"54","salsa"
"55","sano"
"56","suave"
"57","tomate"
"58","tortilla"
"59","uunico"
"60","vegetal"
"61","alcohol"
"62","alcohoolico"
"63","amargo"
"64","amigo"
"65","antojo"
"66","azuucar"
"67","beber"
"68","berber"
"69","borracho"
"70","botella"
"71","bueno"
"72","cerveza"
"73","chocolate"
"74","coca"
"75","diversioon"
"76","dona"
"77","dulce"
"78","fiesta"
"79","fresco"
"80","friio"
"81","frillo"
"82","helado"
"83","hidratante"
"84","hielo"
"85","jugo"
"86","liiquido"
"87","limonada"
"88","loco"
"89","mar"
"90","mareado"
"91","mezcla"
"92","paja"
"93","popote"
"94","refrescante"
"95","refresco"
"96","restaurant"
"97","ron"
"98","sed"
"99","soda"
"100","sol"
"101","taza"
"102","tee"
"103","tequila"
"104","tomar"
"105","trago"
"106","vaso"
"107","vino"
"108","adicto"
"109","agresioon"
"110","bar"
"111","bebedor"
"112","bebida"
"113","bebido"
"114","beodo"
"115","bolo"
"116","borrachera"
"117","bravo"
"118","cabroon"
"119","caer"
"120","calle"
"121","cantina"
"122","carro"
"123","ciego"
"124","crapuloso"
"125","decepcioon"
"126","derrochador"
"127","dificultoso"
"128","discutir"
"129","ebrio"
"130","egosita"
"131","embriagado"
"132","enfermo"
"133","estuupido"
"134","feliz"
"135","flojo"
"136","fuerte"
"137","gordo"
"138","grifo"
"139","hombre"
"140","incoomodo"
"141","intoxicado"
"142","loteriia"
"143","malestar"
"144","malo"
"145","mamado"
"146","molestar"
"147","noche"
"148","oler"
"149","olor"
"150","papa"
"151","pedo"
"152","pelea"
"153","peligroso"
"154","pobre"
"155","sombrero"
"156","sonrisa"
"157","sucio"
"158","taberna"
"159","tequilero"
"160","tiio"
"161","tiipico"
"162","tomado"
"163","tonto"
"164","torpe"
"165","triste"
"166","vagabundo"
"167","vehiiculo"
"168","verguuenza"
"169","violencia"
"170","vodka"
"171","voomito"
"172","aangulo"
"173","abertura"
"174","accioon"
"175","adal ramones"
"176","arte"
"177","boda"
"178","borrar"
"179","caro"
"180","celular"
"181","chale"
"182","cine"
"183","comedia"
"184","comprar"
"185","computadora"
"186","costoso"
"187","cuadro"
"188","despacho"
"189","digital"
"190","editar"
"191","estilo"
"192","estudiar"
"193","flash"
"194","foto"
"195","fotograafico"
"196","fotografiia"
"197","fotoografo"
"198","gente"
"199","grabar"
"200","grupo"
"201","imagen"
"202","imprimir"
"203","lente"
"204","luz"
"205","maaquina fotograafica"
"206","memoria"
"207","modelo"
"208","momento"
"209","naturaleza"
"210","negro"
"211","ooptica"
"212","papel"
"213","parque"
"214","peliicula"
"215","posar"
"216","precioso"
"217","recuerdo"
"218","risa"
"219","sala"
"220","salon"
"221","selfie"
"222","sonreiir"
"223","tecnologiia"
"224","teleefono"
"225","tienda"
"226","vacacioon"
"227","video"
"228","abuelita"
"229","atole"
"230","avellana"
"231","barato"
"232","barra"
"233","beso"
"234","bocadillo"
"235","brownie"
"236","cacao"
"237","caramelo"
"238","caries"
"239","carlos"
"240","chocolatina"
"241","color"
"242","cremoso"
"243","cuadrado"
"244","delicia"
"245","derretido"
"246","empalagoso"
"247","esposa"
"248","galleta"
"249","granja"
"250","hershey"
"251","malteada"
"252","marroon"
"253","mecato"
"254","morado"
"255","nestlee"
"256","nieve"
"257","ninno"
"258","oscuro"
"259","paleta"
"260","pan"
"261","postre"
"262","snickers"
"263","torta"
"264","aire acondicionado"
"265","aseguranza"
"266","asiento"
"267","auto"
"268","autobuus"
"269","automoovil"
"270","avioon"
"271","azul"
"272","bebee"
"273","caballito"
"274","cajuela"
"275","camino"
"276","camioneta"
"277","camioon"
"278","carrera"
"279","charanga"
"280","cinturoon"
"281","cochito"
"282","compartir"
"283","conducir"
"284","conductor"
"285","coucho"
"286","deportivo"
"287","espacio"
"288","espanna"
"289","gas"
"290","gasolina"
"291","glorieta"
"292","grande"
"293","licencia"
"294","llanta"
"295","llorar"
"296","lugar"
"297","lujo"
"298","maaquina"
"299","manejar"
"300","meexico"
"301","mover"
"302","mueble"
"303","neumaatico"
"304","nuevo"
"305","parqueo"
"306","pasajero"
"307","paseo"
"308","pequenno"
"309","puerta"
"310","raapido"
"311","rueda"
"312","saabana"
"313","salir"
"314","semaaforo"
"315","servicial"
"316","taxi"
"317","transporte"
"318","trapito"
"319","troca"
"320","vagoon"
"321","viajar"
"322","viaje"
"323","volkswagen"
"324","abajo"
"325","acelerar"
"326","agotado"
"327","alejar"
"328","apresurar"
"329","apurar"
"330","bailar"
"331","caminar"
"332","caminata"
"333","cansado"
"334","cansancio"
"335","ceesped"
"336","competicioon"
"337","corazoon"
"338","corregir"
"339","correo"
"340","deporte"
"341","dieta"
"342","distancia"
"343","divertido"
"344","dolor"
"345","ejecutar"
"346","ejercicio"
"347","empujoncito"
"348","energiia"
"349","flaco"
"350","fuera"
"351","fuerza"
"352","fuutbol"
"353","galopar"
"354","gimnasio"
"355","juego"
"356","juegos oliimpicos"
"357","jugar"
"358","lejos"
"359","maratoon"
"360","nike"
"361","oliimpico"
"362","pasar"
"363","pie"
"364","pierna"
"365","pique"
"366","pista"
"367","praactica"
"368","rapidez"
"369","ropa"
"370","saltar"
"371","sofocar"
"372","speedy gonzalez"
"373","sudar"
"374","sudor"
"375","sudoracioon"
"376","tenis"
"377","tiempo"
"378","toalla"
"379","trotar"
"380","velocidad"
"381","viento"
"382","zapatilla"
"383","zapato"
"384","abrazo"
"385","abuela"
"386","amor"
"387","asado"
"388","bendicioon"
"389","bondad"
"390","bonito"
"391","chica"
"392","complicado"
"393","confianza"
"394","confiar"
"395","conocimiento"
"396","cuidado"
"397","familiar"
"398","felicidad"
"399","hermana"
"400","hermanito"
"401","hermano"
"402","hija"
"403","hijo"
"404","importante"
"405","inmediato"
"406","intrincado"
"407","juntos"
"408","linaje"
"409","madre"
"410","mamaa"
"411","menaje"
"412","navidad"
"413","padre"
"414","papaa"
"415","parentela"
"416","parentesco"
"417","patio"
"418","paz"
"419","peluche"
"420","perro"
"421","relacionado"
"422","respeto"
"423","salud"
"424","sangre"
"425","separado"
"426","tiia"
"427","unido"
"428","variado"
"429","verdad"
"430","verde"
"431","viejo"
"432","aarbol"
"433","abanico"
"434","afuera"
"435","agradable"
"436","aire"
"437","atractivo"
"438","bannado"
"439","brisa"
"440","clima"
"441","enfriar"
"442","ensalada"
"443","escarcha"
"444","fresno"
"445","fruta"
"446","gota"
"447","gusto"
"448","hierba"
"449","horchata"
"450","invierno"
"451","jamaica"
"452","lavado"
"453","lechuga"
"454","limpio"
"455","lindo"
"456","mamey"
"457","mango"
"458","meloon"
"459","ordenado"
"460","otonno"
"461","picnic"
"462","pintura"
"463","piscina"
"464","playa"
"465","primavera"
"466","queso"
"467","saludable"
"468","sandiia"
"469","sereno"
"470","taco"
"471","tibio"
"472","tranquilo"
"473","verdura"
"474","aceite"
"475","ambiente"
"476","apestoso"
"477","ascete"
"478","bus"
"479","cancioon"
"480","carburante"
"481","cartera"
"482","chevron"
"483","coche"
"484","combustible"
"485","cortaceesped"
"486","costar"
"487","costco"
"488","daddy yankee"
"489","dar"
"490","diesel"
"491","dinero"
"492","feo"
"493","fuego"
"494","gasolinera"
"495","gasolineriia"
"496","gasto"
"497","incendio"
"498","inflamable"
"499","llenar"
"500","maas"
"501","milla"
"502","moto"
"503","motor"
"504","muusica"
"505","nafta"
"506","oxxo"
"507","parrilla"
"508","peligro"
"509","pemex"
"510","petroleo"
"511","plata"
"512","reggaeton"
"513","tanque"
"514","tarjeta"
"515","tooxico"
"516","amable"
"517","beba"
"518","bicicleta"
"519","cachete"
"520","chamaca"
"521","chavala"
"522","chiquita"
"523","cumpleannos"
"524","escuela"
"525","femenina"
"526","fresa"
"527","gritar"
"528","hembra"
"529","inocencia"
"530","joven"
"531","jovencita"
"532","juguete"
"533","lazo"
"534","llorona"
"535","morra"
"536","moza"
"537","muchacha"
"538","mujer"
"539","munneca"
"540","nena"
"541","nieto"
"542","pastel"
"543","pelo"
"544","persona"
"545","plebe"
"546","prima"
"547","princesa"
"548","profesor"
"549","proteger"
"550","rosa"
"551","rosado"
"552","rosita"
"553","sobrina"
"554","trenza"
"555","verano"
"556","vestido"
"557","acre"
"558","agricultura"
"559","amazonia"
"560","animal"
"561","arena"
"562","atmoosfera"
"563","belleza"
"564","campo"
"565","cangrejo"
"566","cielo"
"567","crecer"
"568","encanto"
"569","extraterrestre"
"570","feertil"
"571","finca"
"572","firme"
"573","flor"
"574","flora"
"575","florero"
"576","globo"
"577","gravedad"
"578","gusano"
"579","hogar"
"580","huumedo"
"581","insecto"
"582","jardiin"
"583","lodo"
"584","mata"
"585","mugre"
"586","mundo"
"587","nino"
"588","oceeano"
"589","paiis"
"590","palo"
"591","panteoon"
"592","papeleo"
"593","patria"
"594","pescado"
"595","piedra"
"596","piso"
"597","planeta"
"598","polvo"
"599","propiedad"
"600","rancho"
"601","regioon"
"602","roca"
"603","sedimento"
"604","suelo"
"605","superficie"
"606","terreno"
"607","tropical"
